date,nav,fund_code
2008-08-01,35.9983,AAXJ
2008-09-01,30.2114,AAXJ
2008-10-01,24.0013,AAXJ
2008-11-01,22.2791,AAXJ
2008-12-01,24.4683,AAXJ
2009-01-01,22.4688,AAXJ
2009-02-01,20.805,AAXJ
2009-03-01,24.1545,AAXJ
2009-04-01,28.3433,AAXJ
2009-05-01,32.875,AAXJ
2009-06-01,31.9482,AAXJ
2009-07-01,36.8098,AAXJ
2009-08-01,35.3802,AAXJ
2009-09-01,38.8698,AAXJ
2009-10-01,37.3303,AAXJ
2009-11-01,39.9915,AAXJ
2009-12-01,40.8419,AAXJ
2010-01-01,38.5324,AAXJ
2010-02-01,38.9986,AAXJ
2010-03-01,41.9735,AAXJ
2010-04-01,42.1437,AAXJ
2010-05-01,38.6804,AAXJ
2010-06-01,38.5398,AAXJ
2010-07-01,41.8377,AAXJ
2010-08-01,40.5417,AAXJ
2010-09-01,45.0704,AAXJ
2010-10-01,46.3962,AAXJ
2010-11-01,45.3459,AAXJ
2010-12-01,47.4464,AAXJ
2011-01-01,46.2874,AAXJ
2011-02-01,45.2269,AAXJ
2011-03-01,47.3705,AAXJ
2011-04-01,48.7695,AAXJ
2011-05-01,48.0549,AAXJ
2011-06-01,46.6409,AAXJ
2011-07-01,47.3888,AAXJ
2011-08-01,42.7047,AAXJ
2011-09-01,35.4656,AAXJ
2011-10-01,40.7276,AAXJ
2011-11-01,39.8988,AAXJ
2011-12-01,37.9445,AAXJ
2012-01-01,42.2242,AAXJ
2012-02-01,44.5623,AAXJ
2012-03-01,43.2668,AAXJ
2012-04-01,43.0828,AAXJ
2012-05-01,38.8742,AAXJ
2012-06-01,40.3307,AAXJ
2012-07-01,41.0057,AAXJ
2012-08-01,41.0986,AAXJ
2012-09-01,43.5443,AAXJ
2012-10-01,43.5753,AAXJ
2012-11-01,45.0459,AAXJ
2012-12-01,46.8415,AAXJ
2013-01-01,47.23,AAXJ
2013-02-01,46.9566,AAXJ
2013-03-01,46.1443,AAXJ
2013-04-01,47.1909,AAXJ
2013-05-01,45.4101,AAXJ
2013-06-01,42.778,AAXJ
2013-07-01,44.0731,AAXJ
2013-08-01,43.0953,AAXJ
2013-09-01,45.9578,AAXJ
2013-10-01,47.4797,AAXJ
2013-11-01,48.2052,AAXJ
2013-12-01,47.5586,AAXJ
2014-01-01,44.5172,AAXJ
2014-02-01,46.2842,AAXJ
2014-03-01,47.0324,AAXJ
2014-04-01,47.4542,AAXJ
2014-05-01,49.1894,AAXJ
2014-06-01,49.8978,AAXJ
2014-07-01,51.7455,AAXJ
2014-08-01,52.7324,AAXJ
2014-09-01,49.202,AAXJ
2014-10-01,50.4617,AAXJ
2014-11-01,50.4617,AAXJ
2014-12-01,48.889,AAXJ
2015-01-01,50.1715,AAXJ
2015-02-01,51.7274,AAXJ
2015-03-01,51.8652,AAXJ
2015-04-01,55.1959,AAXJ
2015-05-01,53.5103,AAXJ
2015-06-01,51.0548,AAXJ
2015-07-01,48.3325,AAXJ
2015-08-01,43.4968,AAXJ
2015-09-01,43.0157,AAXJ
2015-10-01,46.0655,AAXJ
2015-11-01,45.2419,AAXJ
2015-12-01,43.5539,AAXJ
2016-01-01,41.256,AAXJ
2016-02-01,40.8911,AAXJ
2016-03-01,45.3028,AAXJ
2016-04-01,44.7887,AAXJ
2016-05-01,44.2082,AAXJ
2016-06-01,45.3443,AAXJ
2016-07-01,48.0965,AAXJ
2016-08-01,48.9643,AAXJ
2016-09-01,50.4996,AAXJ
2016-10-01,49.1645,AAXJ
2016-11-01,47.6292,AAXJ
