date,nav,fund_code
2008-11-01,15.442,AOA
2008-12-01,16.2977,AOA
2009-01-01,15.0236,AOA
2009-02-01,13.6633,AOA
2009-03-01,14.6734,AOA
2009-04-01,16.1947,AOA
2009-05-01,17.1557,AOA
2009-06-01,17.0136,AOA
2009-07-01,18.454,AOA
2009-08-01,19.0478,AOA
2009-09-01,19.7917,AOA
2009-10-01,19.3056,AOA
2009-11-01,20.0932,AOA
2009-12-01,20.5246,AOA
2010-01-01,19.9321,AOA
2010-02-01,20.4766,AOA
2010-03-01,21.6965,AOA
2010-04-01,22.1362,AOA
2010-05-01,20.2989,AOA
2010-06-01,19.3044,AOA
2010-07-01,20.9782,AOA
2010-08-01,20.0322,AOA
2010-09-01,21.9868,AOA
2010-10-01,22.7792,AOA
2010-11-01,22.6606,AOA
2010-12-01,23.9718,AOA
2011-01-01,24.3526,AOA
2011-02-01,25.1595,AOA
2011-03-01,25.2717,AOA
2011-04-01,26.1203,AOA
2011-05-01,25.6841,AOA
2011-06-01,25.2689,AOA
2011-07-01,24.8842,AOA
2011-08-01,23.4525,AOA
2011-09-01,21.5743,AOA
2011-10-01,23.8786,AOA
2011-11-01,23.6365,AOA
2011-12-01,23.5297,AOA
2012-01-01,24.858,AOA
2012-02-01,25.7829,AOA
2012-03-01,26.1342,AOA
2012-04-01,26.0279,AOA
2012-05-01,24.4461,AOA
2012-06-01,25.1076,AOA
2012-07-01,25.5665,AOA
2012-08-01,26.1394,AOA
2012-09-01,26.5744,AOA
2012-10-01,26.4958,AOA
2012-11-01,26.7797,AOA
2012-12-01,27.0563,AOA
2013-01-01,28.4026,AOA
2013-02-01,28.4613,AOA
2013-03-01,29.1726,AOA
2013-04-01,29.7153,AOA
2013-05-01,29.8412,AOA
2013-06-01,29.4071,AOA
2013-07-01,30.393,AOA
2013-08-01,29.8566,AOA
2013-09-01,31.1473,AOA
2013-10-01,32.1487,AOA
2013-11-01,32.7449,AOA
2013-12-01,33.1989,AOA
2014-01-01,32.3604,AOA
2014-02-01,33.7294,AOA
2014-03-01,33.9313,AOA
2014-04-01,33.9613,AOA
2014-05-01,34.7163,AOA
2014-06-01,35.4065,AOA
2014-07-01,34.3936,AOA
2014-08-01,35.6677,AOA
2014-09-01,34.4945,AOA
2014-10-01,35.1681,AOA
2014-11-01,35.7312,AOA
2014-12-01,35.1464,AOA
2015-01-01,35.1321,AOA
2015-02-01,36.5998,AOA
2015-03-01,36.3093,AOA
2015-04-01,36.8138,AOA
2015-05-01,37.0029,AOA
2015-06-01,36.3514,AOA
2015-07-01,36.3438,AOA
2015-08-01,34.6639,AOA
2015-09-01,33.736,AOA
2015-10-01,35.6072,AOA
2015-11-01,35.6531,AOA
2015-12-01,34.7767,AOA
2016-01-01,33.5456,AOA
2016-02-01,33.3115,AOA
2016-03-01,35.3642,AOA
2016-04-01,35.5827,AOA
2016-05-01,35.8169,AOA
2016-06-01,35.8012,AOA
2016-07-01,36.7456,AOA
2016-08-01,37.1675,AOA
2016-09-01,37.388,AOA
2016-10-01,36.6714,AOA
2016-11-01,36.9608,AOA
2016-12-01,37.2925,AOA
