date,nav,fund_code
2013-06-01,35.0631,BNDX
2013-07-01,35.1198,BNDX
2013-08-01,35.0446,BNDX
2013-09-01,35.3219,BNDX
2013-10-01,35.6703,BNDX
2013-11-01,35.6701,BNDX
2013-12-01,35.4301,BNDX
2014-01-01,36.0258,BNDX
2014-02-01,36.1547,BNDX
2014-03-01,36.2688,BNDX
2014-04-01,36.4841,BNDX
2014-05-01,36.7537,BNDX
2014-06-01,36.9828,BNDX
2014-07-01,37.1702,BNDX
2014-08-01,37.6672,BNDX
2014-09-01,37.6281,BNDX
2014-10-01,37.8623,BNDX
2014-11-01,38.1918,BNDX
2014-12-01,38.4922,BNDX
2015-01-01,39.3128,BNDX
2015-02-01,39.1892,BNDX
2015-03-01,39.3871,BNDX
2015-04-01,38.9877,BNDX
2015-05-01,38.78,BNDX
2015-06-01,38.2618,BNDX
2015-07-01,38.7446,BNDX
2015-08-01,38.483,BNDX
2015-09-01,38.7912,BNDX
2015-10-01,39.0168,BNDX
2015-11-01,39.0772,BNDX
2015-12-01,38.9014,BNDX
2016-01-01,39.5914,BNDX
2016-02-01,40.0496,BNDX
2016-03-01,40.3505,BNDX
2016-04-01,40.2434,BNDX
2016-05-01,40.5442,BNDX
2016-06-01,41.3355,BNDX
2016-07-01,41.6743,BNDX
2016-08-01,41.7088,BNDX
2016-09-01,41.7088,BNDX
2016-10-01,41.1843,BNDX
2016-11-01,40.6661,BNDX
2016-12-01,40.5319,BNDX
2017-01-01,40.485,BNDX
2017-02-01,40.8088,BNDX
2017-03-01,40.7977,BNDX
2017-04-01,40.9984,BNDX
2017-05-01,41.2975,BNDX
2017-06-01,41.0756,BNDX
2017-07-01,41.1411,BNDX
2017-08-01,41.5264,BNDX
2017-09-01,41.3586,BNDX
2017-10-01,41.6154,BNDX
2017-11-01,41.7135,BNDX
2017-12-01,41.3019,BNDX
2018-01-01,41.6253,BNDX
2018-02-01,41.6946,BNDX
2018-03-01,42.1795,BNDX
2018-04-01,42.1127,BNDX
2018-05-01,42.0215,BNDX
2018-06-01,42.271,BNDX
2018-07-01,42.3307,BNDX
2018-08-01,42.3524,BNDX
2018-09-01,42.2517,BNDX
2018-10-01,42.2833,BNDX
2018-11-01,42.5006,BNDX
2018-12-01,42.1466,BNDX
2019-01-01,43.4698,BNDX
2019-02-01,43.5174,BNDX
2019-03-01,44.291,BNDX
2019-04-01,44.3599,BNDX
2019-05-01,44.9272,BNDX
2019-06-01,45.6292,BNDX
2019-07-01,46.199,BNDX
2019-08-01,47.1769,BNDX
2019-09-01,46.9813,BNDX
2019-10-01,46.7517,BNDX
2019-11-01,46.529,BNDX
2019-12-01,45.3053,BNDX
2020-01-01,47.305,BNDX
2020-02-01,47.584,BNDX
2020-03-01,46.2005,BNDX
2020-04-01,47.0739,BNDX
2020-05-01,47.2729,BNDX
2020-06-01,47.5257,BNDX
2020-07-01,47.9774,BNDX
2020-08-01,47.6125,BNDX
2020-09-01,48.0231,BNDX
2020-10-01,48.1861,BNDX
2020-11-01,48.3731,BNDX
2020-12-01,48.4369,BNDX
2021-01-01,48.2798,BNDX
2021-02-01,47.4416,BNDX
2021-03-01,47.4368,BNDX
2021-04-01,47.3495,BNDX
2021-05-01,47.3503,BNDX
2021-06-01,47.5242,BNDX
2021-07-01,48.2331,BNDX
2021-08-01,48.0269,BNDX
2021-09-01,47.5104,BNDX
2021-10-01,47.3014,BNDX
2021-11-01,47.8007,BNDX
2021-12-01,46.1035,BNDX
2022-01-01,46.822,BNDX
2022-02-01,46.1937,BNDX
2022-03-01,45.1741,BNDX
2022-04-01,43.8157,BNDX
2022-05-01,43.5197,BNDX
2022-06-01,42.7667,BNDX
2022-07-01,44.1415,BNDX
2022-08-01,42.5455,BNDX
2022-09-01,41.3139,BNDX
2022-10-01,41.5362,BNDX
2022-11-01,42.5425,BNDX
2022-12-01,41.1838,BNDX
2023-01-01,42.3977,BNDX
2023-02-01,41.7078,BNDX
2023-03-01,42.7763,BNDX
2023-04-01,42.8555,BNDX
2023-05-01,42.9187,BNDX
2023-06-01,42.9187,BNDX
2023-07-01,42.8597,BNDX
2023-08-01,42.9458,BNDX
2023-09-01,42.1977,BNDX
2023-10-01,42.1336,BNDX
2023-11-01,43.5753,BNDX
2023-12-01,43.7763,BNDX
2024-01-01,44.7932,BNDX
2024-02-01,44.4738,BNDX
2024-03-01,44.9724,BNDX
2024-04-01,44.3367,BNDX
2024-05-01,44.4647,BNDX
2024-06-01,44.7396,BNDX
2024-07-01,45.6943,BNDX
2024-08-01,45.9202,BNDX
2024-09-01,46.4947,BNDX
2024-10-01,46.163,BNDX
2024-11-01,46.93,BNDX
2024-12-01,45.6271,BNDX
2025-01-01,46.7755,BNDX
2025-02-01,47.0894,BNDX
2025-03-01,46.54,BNDX
2025-04-01,47.3267,BNDX
2025-05-01,47.3359,BNDX
2025-06-01,47.4931,BNDX
2025-07-01,47.4422,BNDX
2025-08-01,47.5036,BNDX
2025-09-01,47.7516,BNDX
2025-10-01,48.2348,BNDX
2025-11-01,48.1434,BNDX
2025-12-01,46.9565,BNDX
2026-01-01,48.2468,BNDX
2026-02-01,48.8726,BNDX
2026-03-01,47.8406,BNDX
2026-04-01,48.27,BNDX
