date,nav,fund_code
2007-12-01,41.7065,EMB
2008-01-01,42.1686,EMB
2008-02-01,41.8018,EMB
2008-03-01,41.8605,EMB
2008-04-01,42.3315,EMB
2008-05-01,42.3825,EMB
2008-06-01,41.5369,EMB
2008-07-01,41.8942,EMB
2008-08-01,42.1729,EMB
2008-09-01,39.1514,EMB
2008-10-01,31.5519,EMB
2008-11-01,34.5235,EMB
2008-12-01,40.4652,EMB
2009-01-01,38.0375,EMB
2009-02-01,35.7052,EMB
2009-03-01,37.5141,EMB
2009-04-01,40.4077,EMB
2009-05-01,41.5699,EMB
2009-06-01,42.0133,EMB
2009-07-01,43.3314,EMB
2009-08-01,44.4032,EMB
2009-09-01,46.7009,EMB
2009-10-01,46.481,EMB
2009-11-01,46.8514,EMB
2009-12-01,46.7823,EMB
2010-01-01,46.9148,EMB
2010-02-01,47.3134,EMB
2010-03-01,48.5441,EMB
2010-04-01,48.8021,EMB
2010-05-01,47.9181,EMB
2010-06-01,49.0704,EMB
2010-07-01,51.0571,EMB
2010-08-01,52.4003,EMB
2010-09-01,53.2444,EMB
2010-10-01,54.2814,EMB
2010-11-01,51.8857,EMB
2010-12-01,51.8358,EMB
2011-01-01,51.7401,EMB
2011-02-01,51.4862,EMB
2011-03-01,52.2868,EMB
2011-04-01,53.1807,EMB
2011-05-01,53.956,EMB
2011-06-01,54.2895,EMB
2011-07-01,55.3652,EMB
2011-08-01,55.6681,EMB
2011-09-01,52.9943,EMB
2011-10-01,55.711,EMB
2011-11-01,55.0024,EMB
2011-12-01,55.8407,EMB
2012-01-01,56.9221,EMB
2012-02-01,58.1015,EMB
2012-03-01,58.0247,EMB
2012-04-01,59.064,EMB
2012-05-01,57.4357,EMB
2012-06-01,59.7602,EMB
2012-07-01,62.0024,EMB
2012-08-01,62.7751,EMB
2012-09-01,63.9088,EMB
2012-10-01,64.323,EMB
2012-11-01,65.1143,EMB
2012-12-01,65.1621,EMB
2013-01-01,63.7102,EMB
2013-02-01,63.6461,EMB
2013-03-01,63.0531,EMB
2013-04-01,65.3085,EMB
2013-05-01,62.0986,EMB
2013-06-01,59.3303,EMB
2013-07-01,59.3958,EMB
2013-08-01,57.9433,EMB
2013-09-01,59.7586,EMB
2013-10-01,61.2964,EMB
2013-11-01,60.0596,EMB
2013-12-01,60.0133,EMB
2014-01-01,59.9769,EMB
2014-02-01,61.7995,EMB
2014-03-01,62.5369,EMB
2014-04-01,63.2042,EMB
2014-05-01,65.4033,EMB
2014-06-01,65.4418,EMB
2014-07-01,65.2816,EMB
2014-08-01,66.1098,EMB
2014-09-01,64.7464,EMB
2014-10-01,65.9618,EMB
2014-11-01,65.6826,EMB
2014-12-01,63.5464,EMB
2015-01-01,65.3223,EMB
2015-02-01,65.7256,EMB
2015-03-01,65.7556,EMB
2015-04-01,66.5528,EMB
2015-05-01,66.3352,EMB
2015-06-01,65.1203,EMB
2015-07-01,65.2095,EMB
2015-08-01,64.4758,EMB
2015-09-01,63.7583,EMB
2015-10-01,65.2954,EMB
2015-11-01,65.5186,EMB
2015-12-01,64.2013,EMB
2016-01-01,64.8121,EMB
2016-02-01,65.6879,EMB
2016-03-01,67.8553,EMB
2016-04-01,68.9244,EMB
2016-05-01,68.7906,EMB
2016-06-01,71.6384,EMB
2016-07-01,72.5758,EMB
2016-08-01,73.5571,EMB
2016-09-01,73.8693,EMB
2016-10-01,72.5858,EMB
2016-11-01,69.4784,EMB
2016-12-01,70.3347,EMB
2017-01-01,72.0179,EMB
2017-02-01,72.9364,EMB
2017-03-01,73.3153,EMB
2017-04-01,74.5721,EMB
2017-05-01,75.1392,EMB
2017-06-01,74.6015,EMB
2017-07-01,75.4784,EMB
2017-08-01,76.9749,EMB
2017-09-01,76.8372,EMB
2017-10-01,77.0216,EMB
2017-11-01,76.8163,EMB
2017-12-01,77.5188,EMB
2018-01-01,77.574,EMB
2018-02-01,75.6777,EMB
2018-03-01,76.0704,EMB
2018-04-01,74.4884,EMB
2018-05-01,73.854,EMB
2018-06-01,72.7207,EMB
2018-07-01,74.5902,EMB
2018-08-01,72.8702,EMB
2018-09-01,74.3452,EMB
2018-10-01,72.4709,EMB
2018-11-01,72.1001,EMB
2018-12-01,72.5728,EMB
2019-01-01,77.3303,EMB
2019-02-01,77.3232,EMB
2019-03-01,78.487,EMB
2019-04-01,78.6215,EMB
2019-05-01,79.0118,EMB
2019-06-01,81.7909,EMB
2019-07-01,82.4168,EMB
2019-08-01,83.7119,EMB
2019-09-01,82.8009,EMB
2019-10-01,83.2825,EMB
2019-11-01,82.4886,EMB
2019-12-01,84.5854,EMB
2020-01-01,86.2789,EMB
2020-02-01,84.8952,EMB
2020-03-01,72.1772,EMB
2020-04-01,75.3042,EMB
2020-05-01,80.0637,EMB
2020-06-01,82.4968,EMB
2020-07-01,85.6914,EMB
2020-08-01,86.3235,EMB
2020-09-01,84.5242,EMB
2020-10-01,84.1076,EMB
2020-11-01,87.6306,EMB
2020-12-01,89.225,EMB
2021-01-01,88.2461,EMB
2021-02-01,85.2852,EMB
2021-03-01,84.663,EMB
2021-04-01,86.6969,EMB
2021-05-01,87.5384,EMB
2021-06-01,88.2843,EMB
2021-07-01,88.7804,EMB
2021-08-01,89.583,EMB
2021-09-01,87.223,EMB
2021-10-01,87.3563,EMB
2021-11-01,85.7012,EMB
2021-12-01,87.2534,EMB
2022-01-01,84.877,EMB
2022-02-01,79.8994,EMB
2022-03-01,79.0192,EMB
2022-04-01,73.7227,EMB
2022-05-01,74.314,EMB
2022-06-01,69.7641,EMB
2022-07-01,72.2369,EMB
2022-08-01,70.3021,EMB
2022-09-01,65.6977,EMB
2022-10-01,65.5237,EMB
2022-11-01,72.114,EMB
2022-12-01,70.9222,EMB
2023-01-01,74.2859,EMB
2023-02-01,72.0297,EMB
2023-03-01,73.1682,EMB
2023-04-01,73.3842,EMB
2023-05-01,72.5215,EMB
2023-06-01,74.329,EMB
2023-07-01,75.623,EMB
2023-08-01,74.2294,EMB
2023-09-01,71.743,EMB
2023-10-01,70.8836,EMB
2023-11-01,75.2916,EMB
2023-12-01,78.4383,EMB
2024-01-01,78.1098,EMB
2024-02-01,78.3939,EMB
2024-03-01,79.9437,EMB
2024-04-01,78.0382,EMB
2024-05-01,80.0663,EMB
2024-06-01,79.8847,EMB
2024-07-01,81.9976,EMB
2024-08-01,83.8545,EMB
2024-09-01,85.5719,EMB
2024-10-01,83.4731,EMB
2024-11-01,84.9519,EMB
2024-12-01,82.4676,EMB
2025-01-01,84.8614,EMB
2025-02-01,86.2484,EMB
2025-03-01,85.3144,EMB
2025-04-01,85.0779,EMB
2025-05-01,86.0632,EMB
2025-06-01,88.377,EMB
2025-07-01,89.0135,EMB
2025-08-01,90.5832,EMB
2025-09-01,92.0202,EMB
2025-10-01,93.8518,EMB
2025-11-01,94.2994,EMB
2025-12-01,94.2683,EMB
2026-01-01,95.3046,EMB
2026-02-01,96.4394,EMB
2026-03-01,93.0895,EMB
2026-04-01,96.59,EMB
