date,nav,fund_code
1999-03-01,44.2606,QQQ
1999-04-01,45.3151,QQQ
1999-05-01,43.8915,QQQ
1999-06-01,48.6102,QQQ
1999-07-01,47.7403,QQQ
1999-08-01,50.35,QQQ
1999-09-01,50.7718,QQQ
1999-10-01,55.4641,QQQ
1999-11-01,62.0017,QQQ
1999-12-01,77.0804,QQQ
2000-01-01,75.6569,QQQ
2000-02-01,90.0501,QQQ
2000-03-01,92.37,QQQ
2000-04-01,79.9274,QQQ
2000-05-01,70.121,QQQ
2000-06-01,78.8203,QQQ
2000-07-01,75.446,QQQ
2000-08-01,85.7269,QQQ
2000-09-01,74.8661,QQQ
2000-10-01,68.9216,QQQ
2000-11-01,53.1312,QQQ
2000-12-01,49.2429,QQQ
2001-01-01,54.241,QQQ
2001-02-01,40.027,QQQ
2001-03-01,33.0254,QQQ
2001-04-01,38.9304,QQQ
2001-05-01,37.7325,QQQ
2001-06-01,38.5507,QQQ
2001-07-01,35.2271,QQQ
2001-08-01,30.8996,QQQ
2001-09-01,24.4464,QQQ
2001-10-01,28.5967,QQQ
2001-11-01,33.4472,QQQ
2001-12-01,32.8229,QQQ
2002-01-01,32.4856,QQQ
2002-02-01,28.4955,QQQ
2002-03-01,30.4188,QQQ
2002-04-01,26.7662,QQQ
2002-05-01,25.3406,QQQ
2002-06-01,22.017,QQQ
2002-07-01,20.1189,QQQ
2002-08-01,19.8153,QQQ
2002-09-01,17.4786,QQQ
2002-10-01,20.7094,QQQ
2002-11-01,23.3835,QQQ
2002-12-01,20.5576,QQQ
2003-01-01,20.6166,QQQ
2003-02-01,21.224,QQQ
2003-03-01,21.2999,QQQ
2003-04-01,23.1558,QQQ
2003-05-01,25.1297,QQQ
2003-06-01,25.2647,QQQ
2003-07-01,26.8252,QQQ
2003-08-01,28.1665,QQQ
2003-09-01,27.3483,QQQ
2003-10-01,29.6765,QQQ
2003-11-01,29.8452,QQQ
2003-12-01,30.7563,QQQ
2004-01-01,31.283,QQQ
2004-02-01,30.8611,QQQ
2004-03-01,30.2451,QQQ
2004-04-01,29.3421,QQQ
2004-05-01,30.8442,QQQ
2004-06-01,31.8484,QQQ
2004-07-01,29.4433,QQQ
2004-08-01,28.7092,QQQ
