date,nav,fund_code
1993-01-01,24.1754,SPY
1993-02-01,24.4333,SPY
1993-03-01,24.8631,SPY
1993-04-01,24.3414,SPY
1993-05-01,24.9979,SPY
1993-06-01,24.9115,SPY
1993-07-01,24.9662,SPY
1993-08-01,25.9231,SPY
1993-09-01,25.5752,SPY
1993-10-01,26.2422,SPY
1993-11-01,25.9621,SPY
1993-12-01,26.1022,SPY
1994-01-01,27.1974,SPY
1994-02-01,26.4042,SPY
1994-03-01,25.1528,SPY
1994-04-01,25.5815,SPY
1994-05-01,25.9893,SPY
1994-06-01,25.227,SPY
1994-07-01,26.2146,SPY
1994-08-01,27.214,SPY
1994-09-01,26.3663,SPY
1994-10-01,27.2807,SPY
1994-11-01,26.1945,SPY
1994-12-01,26.1766,SPY
1995-01-01,27.272,SPY
1995-02-01,28.385,SPY
1995-03-01,29.0184,SPY
1995-04-01,30.0397,SPY
1995-05-01,31.2315,SPY
1995-06-01,31.6772,SPY
1995-07-01,32.8882,SPY
1995-08-01,33.0346,SPY
1995-09-01,34.2516,SPY
1995-10-01,34.3332,SPY
1995-11-01,35.8604,SPY
1995-12-01,36.2008,SPY
1996-01-01,37.7205,SPY
1996-02-01,37.8408,SPY
1996-03-01,38.3222,SPY
1996-04-01,38.9108,SPY
1996-05-01,39.7941,SPY
1996-06-01,39.9335,SPY
1996-07-01,38.3412,SPY
1996-08-01,39.0796,SPY
1996-09-01,41.0518,SPY
1996-10-01,42.5972,SPY
1996-11-01,45.7069,SPY
1996-12-01,44.401,SPY
1997-01-01,47.376,SPY
1997-02-01,47.8292,SPY
1997-03-01,45.5444,SPY
1997-04-01,48.581,SPY
1997-05-01,51.6517,SPY
1997-06-01,53.5661,SPY
1997-07-01,58.0371,SPY
1997-08-01,55.0306,SPY
1997-09-01,57.4662,SPY
1997-10-01,56.2637,SPY
1997-11-01,58.4409,SPY
1997-12-01,59.3195,SPY
1998-01-01,60.3225,SPY
1998-02-01,64.5025,SPY
1998-03-01,67.4553,SPY
1998-04-01,68.5145,SPY
1998-05-01,67.0916,SPY
1998-06-01,69.726,SPY
1998-07-01,69.0026,SPY
1998-08-01,59.2608,SPY
1998-09-01,62.8103,SPY
1998-10-01,68.1429,SPY
1998-11-01,71.9372,SPY
1998-12-01,76.3897,SPY
1999-01-01,79.3433,SPY
1999-02-01,76.7989,SPY
1999-03-01,79.79,SPY
1999-04-01,83.021,SPY
1999-05-01,81.1226,SPY
1999-06-01,85.3574,SPY
1999-07-01,82.959,SPY
1999-08-01,82.5294,SPY
1999-09-01,80.4594,SPY
1999-10-01,85.8561,SPY
1999-11-01,87.2858,SPY
1999-12-01,92.0447,SPY
2000-01-01,87.6767,SPY
2000-02-01,86.3417,SPY
2000-03-01,94.4694,SPY
2000-04-01,91.3833,SPY
2000-05-01,89.9465,SPY
2000-06-01,91.5013,SPY
2000-07-01,90.2766,SPY
2000-08-01,96.1754,SPY
2000-09-01,90.6712,SPY
2000-10-01,90.4738,SPY
2000-11-01,83.7196,SPY
2000-12-01,83.0274,SPY
2001-01-01,86.9847,SPY
2001-02-01,78.6874,SPY
2001-03-01,74.0786,SPY
2001-04-01,80.6243,SPY
2001-05-01,80.1724,SPY
2001-06-01,78.04,SPY
2001-07-01,77.464,SPY
2001-08-01,72.8679,SPY
2001-09-01,66.6695,SPY
2001-10-01,67.7911,SPY
2001-11-01,73.0772,SPY
2001-12-01,73.2374,SPY
2002-01-01,72.7692,SPY
2002-02-01,71.464,SPY
2002-03-01,73.6308,SPY
2002-04-01,69.5473,SPY
2002-05-01,69.1347,SPY
2002-06-01,63.8087,SPY
2002-07-01,58.9851,SPY
2002-08-01,59.3862,SPY
2002-09-01,52.9222,SPY
2002-10-01,57.5336,SPY
2002-11-01,61.0823,SPY
2002-12-01,57.3451,SPY
2003-01-01,56.2096,SPY
2003-02-01,55.4519,SPY
2003-03-01,55.3474,SPY
2003-04-01,60.2725,SPY
2003-05-01,63.5776,SPY
2003-06-01,64.0236,SPY
2003-07-01,65.4132,SPY
2003-08-01,66.7624,SPY
2003-09-01,65.7817,SPY
2003-10-01,69.5689,SPY
2003-11-01,70.3286,SPY
2003-12-01,73.5197,SPY
2004-01-01,75.3274,SPY
2004-02-01,76.3497,SPY
2004-03-01,75.0752,SPY
2004-04-01,73.9129,SPY
2004-05-01,75.1786,SPY
2004-06-01,76.2909,SPY
2004-07-01,74.1024,SPY
2004-08-01,74.2829,SPY
2004-09-01,74.7175,SPY
2004-10-01,75.9953,SPY
2004-11-01,79.1438,SPY
2004-12-01,81.3849,SPY
2005-01-01,79.936,SPY
2005-02-01,81.607,SPY
2005-03-01,79.8007,SPY
2005-04-01,78.6132,SPY
2005-05-01,81.1465,SPY
2005-06-01,80.9427,SPY
2005-07-01,84.3789,SPY
2005-08-01,83.5879,SPY
2005-09-01,83.9016,SPY
2005-10-01,82.2659,SPY
2005-11-01,85.8817,SPY
2005-12-01,85.2654,SPY
2006-01-01,87.7758,SPY
2006-02-01,88.2784,SPY
2006-03-01,89.3798,SPY
2006-04-01,90.8688,SPY
2006-05-01,88.1318,SPY
2006-06-01,87.9728,SPY
2006-07-01,88.7574,SPY
2006-08-01,90.6942,SPY
2006-09-01,92.7353,SPY
2006-10-01,96.0787,SPY
2006-11-01,97.9893,SPY
2006-12-01,98.7493,SPY
2007-01-01,100.793,SPY
2007-02-01,98.8157,SPY
2007-03-01,99.566,SPY
2007-04-01,104.3887,SPY
2007-05-01,107.9296,SPY
2007-06-01,105.8952,SPY
2007-07-01,103.0217,SPY
2007-08-01,104.3438,SPY
2007-09-01,107.8716,SPY
2007-10-01,109.8537,SPY
2007-11-01,105.5988,SPY
2007-12-01,103.8584,SPY
2008-01-01,98.0969,SPY
2008-02-01,95.5619,SPY
2008-03-01,94.2408,SPY
2008-04-01,99.2213,SPY
2008-05-01,100.7212,SPY
2008-06-01,91.844,SPY
2008-07-01,91.474,SPY
2008-08-01,92.8875,SPY
2008-09-01,83.6558,SPY
2008-10-01,70.2412,SPY
2008-11-01,65.3519,SPY
2008-12-01,65.4608,SPY
2009-01-01,60.5732,SPY
2009-02-01,54.0647,SPY
2009-03-01,58.1526,SPY
2009-04-01,64.3875,SPY
2009-05-01,68.1512,SPY
2009-06-01,67.7239,SPY
2009-07-01,73.1876,SPY
2009-08-01,75.8912,SPY
2009-09-01,78.2095,SPY
2009-10-01,77.0713,SPY
2009-11-01,81.8194,SPY
2009-12-01,82.9357,SPY
2010-01-01,80.3519,SPY
2010-02-01,82.8585,SPY
2010-03-01,87.5423,SPY
2010-04-01,89.2627,SPY
2010-05-01,82.1704,SPY
2010-06-01,77.5499,SPY
2010-07-01,83.2407,SPY
2010-08-01,79.4965,SPY
2010-09-01,86.1545,SPY
2010-10-01,89.9247,SPY
2010-11-01,89.9247,SPY
2010-12-01,95.4345,SPY
2011-01-01,98.1717,SPY
2011-02-01,101.5819,SPY
2011-03-01,101.1547,SPY
2011-04-01,104.5365,SPY
2011-05-01,103.3641,SPY
2011-06-01,101.1191,SPY
2011-07-01,99.5875,SPY
2011-08-01,94.1126,SPY
2011-09-01,87.1285,SPY
2011-10-01,97.1383,SPY
2011-11-01,96.7435,SPY
2011-12-01,97.1383,SPY
2012-01-01,102.2877,SPY
2012-02-01,106.7275,SPY
2012-03-01,109.6796,SPY
2012-04-01,109.4249,SPY
2012-05-01,102.8533,SPY
2012-06-01,106.4755,SPY
2012-07-01,108.2933,SPY
2012-08-01,111.0063,SPY
2012-09-01,113.2161,SPY
2012-10-01,111.7491,SPY
2012-11-01,112.3815,SPY
2012-12-01,112.5871,SPY
2013-01-01,119.1899,SPY
2013-02-01,120.7106,SPY
2013-03-01,124.7393,SPY
2013-04-01,127.7013,SPY
2013-05-01,130.7163,SPY
2013-06-01,128.2931,SPY
2013-07-01,135.6368,SPY
2013-08-01,131.5688,SPY
2013-09-01,135.074,SPY
2013-10-01,142.0177,SPY
2013-11-01,146.2268,SPY
2013-12-01,149.2079,SPY
2014-01-01,144.7301,SPY
2014-02-01,151.3176,SPY
