date,nav,fund_code
2012-01-01,39.5079,URTH
2012-02-01,42.0704,URTH
2012-03-01,42.0551,URTH
2012-04-01,42.2234,URTH
2012-05-01,38.6206,URTH
2012-06-01,38.9113,URTH
2012-07-01,40.7787,URTH
2012-08-01,41.6321,URTH
2012-09-01,43.4941,URTH
2012-10-01,42.5166,URTH
2012-11-01,43.2459,URTH
2012-12-01,43.5329,URTH
2013-01-01,46.2096,URTH
2013-02-01,46.5006,URTH
2013-03-01,47.4838,URTH
2013-04-01,48.7658,URTH
2013-05-01,50.0322,URTH
2013-06-01,47.5939,URTH
2013-07-01,50.6459,URTH
2013-08-01,49.7916,URTH
2013-09-01,52.5917,URTH
2013-10-01,53.9284,URTH
2013-11-01,55.0279,URTH
2013-12-01,55.5815,URTH
2014-01-01,53.6,URTH
2014-02-01,56.432,URTH
2014-03-01,56.6308,URTH
2014-04-01,56.2808,URTH
2014-05-01,58.0707,URTH
2014-06-01,58.0388,URTH
2014-07-01,57.8562,URTH
2014-08-01,59.4606,URTH
2014-09-01,57.5498,URTH
2014-10-01,58.0416,URTH
2014-11-01,59.0817,URTH
2014-12-01,57.7756,URTH
2015-01-01,56.8861,URTH
2015-02-01,60.6883,URTH
2015-03-01,59.8171,URTH
2015-04-01,60.8837,URTH
2015-05-01,61.1442,URTH
2015-06-01,58.7831,URTH
2015-07-01,61.0517,URTH
2015-08-01,57.0392,URTH
2015-09-01,55.0124,URTH
2015-10-01,58.8436,URTH
2015-11-01,59.0084,URTH
2015-12-01,57.3441,URTH
2016-01-01,54.4326,URTH
2016-02-01,54.1161,URTH
2016-03-01,57.781,URTH
2016-04-01,58.3974,URTH
2016-05-01,58.8721,URTH
2016-06-01,57.7477,URTH
2016-07-01,60.8583,URTH
2016-08-01,61.0606,URTH
2016-09-01,61.2376,URTH
2016-10-01,59.9397,URTH
2016-11-01,60.9426,URTH
2016-12-01,61.5915,URTH
2017-01-01,63.9362,URTH
2017-02-01,65.6131,URTH
2017-03-01,66.2856,URTH
2017-04-01,67.4007,URTH
2017-05-01,68.8053,URTH
2017-06-01,68.3796,URTH
2017-07-01,70.7584,URTH
2017-08-01,70.8186,URTH
2017-09-01,72.315,URTH
2017-10-01,73.8543,URTH
2017-11-01,75.2991,URTH
2017-12-01,75.7721,URTH
2018-01-01,80.4496,URTH
2018-02-01,76.9428,URTH
2018-03-01,75.632,URTH
2018-04-01,76.1963,URTH
2018-05-01,76.6997,URTH
2018-06-01,75.9185,URTH
2018-07-01,79.1276,URTH
2018-08-01,80.0323,URTH
2018-09-01,80.6296,URTH
2018-10-01,74.8766,URTH
2018-11-01,75.7198,URTH
2018-12-01,69.2729,URTH
2019-01-01,75.3338,URTH
2019-02-01,77.5772,URTH
2019-03-01,78.7299,URTH
2019-04-01,81.656,URTH
2019-05-01,76.9299,URTH
2019-06-01,80.7072,URTH
2019-07-01,82.5626,URTH
2019-08-01,80.7471,URTH
2019-09-01,82.4907,URTH
2019-10-01,84.5939,URTH
2019-11-01,86.9667,URTH
2019-12-01,88.7823,URTH
2020-01-01,88.6648,URTH
2020-02-01,81.3524,URTH
2020-03-01,70.7014,URTH
2020-04-01,78.3494,URTH
2020-05-01,82.2868,URTH
2020-06-01,83.5933,URTH
2020-07-01,88.5743,URTH
2020-08-01,94.357,URTH
2020-09-01,91.2044,URTH
2020-10-01,88.4643,URTH
2020-11-01,99.8373,URTH
2020-12-01,103.0174,URTH
2021-01-01,102.914,URTH
2021-02-01,105.4801,URTH
2021-03-01,109.3755,URTH
2021-04-01,114.1017,URTH
2021-05-01,115.9386,URTH
2021-06-01,116.834,URTH
2021-07-01,119.8643,URTH
2021-08-01,122.8322,URTH
2021-09-01,117.6592,URTH
2021-10-01,124.5256,URTH
2021-11-01,121.9763,URTH
2021-12-01,125.9026,URTH
2022-01-01,120.3112,URTH
2022-02-01,116.8046,URTH
2022-03-01,120.1611,URTH
2022-04-01,110.0915,URTH
2022-05-01,110.579,URTH
2022-06-01,100.2093,URTH
2022-07-01,109.294,URTH
2022-08-01,104.2913,URTH
2022-09-01,94.5222,URTH
2022-10-01,101.5866,URTH
2022-11-01,109.1711,URTH
2022-12-01,103.3172,URTH
2023-01-01,111.4697,URTH
2023-02-01,108.5832,URTH
2023-03-01,112.0984,URTH
2023-04-01,114.1181,URTH
2023-05-01,112.9844,URTH
2023-06-01,118.6241,URTH
2023-07-01,123.6397,URTH
2023-08-01,120.9079,URTH
2023-09-01,115.5888,URTH
2023-10-01,112.6454,URTH
2023-11-01,122.9087,URTH
2023-12-01,127.9489,URTH
2024-01-01,130.1457,URTH
2024-02-01,136.042,URTH
2024-03-01,140.5321,URTH
2024-04-01,134.9655,URTH
2024-05-01,141.308,URTH
2024-06-01,143.0342,URTH
2024-07-01,146.6223,URTH
2024-08-01,150.7383,URTH
2024-09-01,153.4074,URTH
2024-10-01,150.2984,URTH
2024-11-01,157.543,URTH
2024-12-01,152.0289,URTH
2025-01-01,158.1525,URTH
2025-02-01,157.5028,URTH
2025-03-01,150.7892,URTH
2025-04-01,151.8721,URTH
2025-05-01,160.7611,URTH
2025-06-01,166.7364,URTH
2025-07-01,169.7267,URTH
2025-08-01,174.4683,URTH
2025-09-01,180.1027,URTH
2025-10-01,183.5449,URTH
2025-11-01,184.1698,URTH
2025-12-01,184.2789,URTH
2026-01-01,189.63,URTH
2026-02-01,190.84,URTH
2026-03-01,180.02,URTH
2026-04-01,195.51,URTH
