date,nav,fund_code
2004-09-01,19.8255,VNQ
2004-10-01,20.95,VNQ
2004-11-01,21.7785,VNQ
2004-12-01,22.3111,VNQ
2005-01-01,20.8615,VNQ
2005-02-01,21.5232,VNQ
2005-03-01,20.9059,VNQ
2005-04-01,22.3763,VNQ
2005-05-01,23.1643,VNQ
2005-06-01,23.9644,VNQ
2005-07-01,25.9587,VNQ
2005-08-01,24.9062,VNQ
2005-09-01,24.9516,VNQ
2005-10-01,24.5126,VNQ
2005-11-01,25.5313,VNQ
2005-12-01,24.8675,VNQ
2006-01-01,27.4627,VNQ
2006-02-01,27.973,VNQ
2006-03-01,29.122,VNQ
2006-04-01,28.2956,VNQ
2006-05-01,27.5323,VNQ
2006-06-01,28.5932,VNQ
2006-07-01,30.0227,VNQ
2006-08-01,31.0688,VNQ
2006-09-01,31.3826,VNQ
2006-10-01,33.5892,VNQ
2006-11-01,35.1952,VNQ
2006-12-01,33.8795,VNQ
2007-01-01,37.5796,VNQ
2007-02-01,36.5656,VNQ
2007-03-01,35.601,VNQ
2007-04-01,35.7618,VNQ
2007-05-01,35.6264,VNQ
2007-06-01,32.0164,VNQ
2007-07-01,29.7398,VNQ
2007-08-01,31.7456,VNQ
2007-09-01,32.6503,VNQ
2007-10-01,33.6816,VNQ
2007-11-01,30.4917,VNQ
2007-12-01,28.3727,VNQ
2008-01-01,28.6159,VNQ
2008-02-01,27.7055,VNQ
2008-03-01,29.2776,VNQ
2008-04-01,31.3843,VNQ
2008-05-01,31.3182,VNQ
2008-06-01,27.625,VNQ
2008-07-01,28.8657,VNQ
2008-08-01,29.5509,VNQ
2008-09-01,29.134,VNQ
2008-10-01,20.1504,VNQ
2008-11-01,15.5727,VNQ
2008-12-01,17.6941,VNQ
2009-01-01,14.9888,VNQ
2009-02-01,11.9123,VNQ
2009-03-01,12.1067,VNQ
2009-04-01,16.1343,VNQ
2009-05-01,16.5563,VNQ
2009-06-01,15.7682,VNQ
2009-07-01,17.7532,VNQ
2009-08-01,20.2961,VNQ
2009-09-01,21.4227,VNQ
2009-10-01,20.6685,VNQ
2009-11-01,22.0256,VNQ
2009-12-01,23.3513,VNQ
2010-01-01,22.3467,VNQ
2010-02-01,23.5944,VNQ
2010-03-01,25.8042,VNQ
2010-04-01,27.8568,VNQ
2010-05-01,26.3707,VNQ
2010-06-01,24.7622,VNQ
2010-07-01,27.3942,VNQ
2010-08-01,27.0447,VNQ
2010-09-01,28.0018,VNQ
2010-10-01,29.5938,VNQ
2010-11-01,29.0459,VNQ
2010-12-01,30.0387,VNQ
2011-01-01,31.3549,VNQ
2011-02-01,32.8302,VNQ
2011-03-01,32.0679,VNQ
2011-04-01,34.1577,VNQ
2011-05-01,34.6272,VNQ
2011-06-01,33.2019,VNQ
2011-07-01,34.0085,VNQ
2011-08-01,32.0975,VNQ
2011-09-01,28.3423,VNQ
2011-10-01,32.7073,VNQ
2011-11-01,31.4641,VNQ
2011-12-01,32.6286,VNQ
2012-01-01,35.0947,VNQ
2012-02-01,34.6909,VNQ
2012-03-01,36.2039,VNQ
2012-04-01,37.5384,VNQ
2012-05-01,35.8469,VNQ
2012-06-01,37.5154,VNQ
2012-07-01,38.582,VNQ
2012-08-01,38.5762,VNQ
2012-09-01,37.5587,VNQ
2012-10-01,37.5136,VNQ
2012-11-01,37.4146,VNQ
2012-12-01,38.3411,VNQ
2013-01-01,40.2583,VNQ
2013-02-01,40.7478,VNQ
2013-03-01,41.5971,VNQ
2013-04-01,44.7412,VNQ
2013-05-01,42.0667,VNQ
2013-06-01,40.8424,VNQ
2013-07-01,41.605,VNQ
2013-08-01,38.7009,VNQ
2013-09-01,39.685,VNQ
2013-10-01,41.8589,VNQ
2013-11-01,39.6609,VNQ
2013-12-01,39.0917,VNQ
2014-01-01,41.3986,VNQ
2014-02-01,43.4956,VNQ
2014-03-01,43.4279,VNQ
2014-04-01,45.1477,VNQ
2014-05-01,46.2309,VNQ
2014-06-01,46.3238,VNQ
2014-07-01,46.7927,VNQ
2014-08-01,48.2171,VNQ
2014-09-01,44.8873,VNQ
2014-10-01,49.8066,VNQ
2014-11-01,50.8029,VNQ
2014-12-01,51.074,VNQ
2015-01-01,55.3173,VNQ
2015-02-01,53.2849,VNQ
2015-03-01,53.8857,VNQ
2015-04-01,51.0379,VNQ
2015-05-01,50.8836,VNQ
2015-06-01,48.0225,VNQ
2015-07-01,51.3072,VNQ
2015-08-01,48.0794,VNQ
2015-09-01,49.0601,VNQ
2015-10-01,52.4039,VNQ
2015-11-01,52.0759,VNQ
2015-12-01,52.2989,VNQ
2016-01-01,51.207,VNQ
2016-02-01,51.0208,VNQ
2016-03-01,55.7365,VNQ
2016-04-01,55.0354,VNQ
2016-05-01,56.2729,VNQ
2016-06-01,59.6357,VNQ
2016-07-01,62.7368,VNQ
2016-08-01,60.3753,VNQ
2016-09-01,58.862,VNQ
2016-10-01,55.8661,VNQ
2016-11-01,54.93,VNQ
2016-12-01,56.3922,VNQ
2017-01-01,57.4644,VNQ
2017-02-01,59.4806,VNQ
2017-03-01,57.6179,VNQ
2017-04-01,58.1795,VNQ
2017-05-01,57.7579,VNQ
2017-06-01,58.4887,VNQ
2017-07-01,59.7781,VNQ
2017-08-01,59.622,VNQ
2017-09-01,58.9481,VNQ
2017-10-01,58.9161,VNQ
2017-11-01,60.4858,VNQ
2017-12-01,59.4752,VNQ
2018-01-01,57.8273,VNQ
2018-02-01,53.3875,VNQ
2018-03-01,54.9305,VNQ
2018-04-01,55.9203,VNQ
2018-05-01,57.9781,VNQ
2018-06-01,59.8595,VNQ
2018-07-01,60.7779,VNQ
2018-08-01,62.3429,VNQ
2018-09-01,59.8433,VNQ
2018-10-01,58.9069,VNQ
2018-11-01,61.6597,VNQ
2018-12-01,56.0864,VNQ
2019-01-01,63.4848,VNQ
2019-02-01,63.9263,VNQ
2019-03-01,66.1488,VNQ
2019-04-01,66.5144,VNQ
2019-05-01,66.6064,VNQ
2019-06-01,66.9973,VNQ
2019-07-01,68.7948,VNQ
2019-08-01,71.372,VNQ
2019-09-01,72.1691,VNQ
2019-10-01,73.5665,VNQ
2019-11-01,72.607,VNQ
2019-12-01,72.3885,VNQ
2020-01-01,74.0642,VNQ
2020-02-01,68.8601,VNQ
2020-03-01,55.077,VNQ
2020-04-01,60.4814,VNQ
2020-05-01,61.5304,VNQ
2020-06-01,62.4045,VNQ
2020-07-01,65.3176,VNQ
2020-08-01,65.6066,VNQ
2020-09-01,63.3675,VNQ
2020-10-01,61.9419,VNQ
2020-11-01,67.9347,VNQ
2020-12-01,68.6868,VNQ
2021-01-01,69.8167,VNQ
2021-02-01,72.208,VNQ
2021-03-01,75.4869,VNQ
2021-04-01,81.896,VNQ
2021-05-01,82.5573,VNQ
2021-06-01,84.136,VNQ
2021-07-01,88.4807,VNQ
2021-08-01,90.387,VNQ
2021-09-01,84.7264,VNQ
2021-10-01,91.3328,VNQ
2021-11-01,89.4062,VNQ
2021-12-01,97.1709,VNQ
2022-01-01,89.8234,VNQ
2022-02-01,86.6951,VNQ
2022-03-01,91.6243,VNQ
2022-04-01,88.3597,VNQ
2022-05-01,84.2197,VNQ
2022-06-01,77.4529,VNQ
2022-07-01,84.6621,VNQ
2022-08-01,79.5717,VNQ
2022-09-01,68.5869,VNQ
2022-10-01,71.7599,VNQ
2022-11-01,76.1702,VNQ
2022-12-01,71.3275,VNQ
2023-01-01,79.8603,VNQ
2023-02-01,75.1771,VNQ
2023-03-01,72.8267,VNQ
2023-04-01,73.787,VNQ
2023-05-01,70.8639,VNQ
2023-06-01,74.0173,VNQ
2023-07-01,76.376,VNQ
2023-08-01,73.796,VNQ
2023-09-01,67.7763,VNQ
2023-10-01,65.9573,VNQ
2023-11-01,73.9261,VNQ
2023-12-01,79.923,VNQ
2024-01-01,76.8156,VNQ
2024-02-01,78.3356,VNQ
2024-03-01,79.1872,VNQ
2024-04-01,73.5196,VNQ
2024-05-01,76.8719,VNQ
2024-06-01,77.3521,VNQ
2024-07-01,84.5313,VNQ
2024-08-01,88.9444,VNQ
2024-09-01,91.0854,VNQ
2024-10-01,88.7694,VNQ
2024-11-01,92.5503,VNQ
2024-12-01,83.9892,VNQ
2025-01-01,86.2012,VNQ
2025-02-01,89.3903,VNQ
2025-03-01,86.1917,VNQ
2025-04-01,84.9516,VNQ
2025-05-01,85.9037,VNQ
2025-06-01,85.6537,VNQ
2025-07-01,86.5729,VNQ
