date,nav,fund_code
2008-06-01,33.9692,VT
2008-07-01,33.0572,VT
2008-08-01,32.447,VT
2008-09-01,29.4916,VT
2008-10-01,23.1696,VT
2008-11-01,21.5925,VT
2008-12-01,22.6141,VT
2009-01-01,20.2902,VT
2009-02-01,18.3578,VT
2009-03-01,19.9796,VT
2009-04-01,22.3882,VT
2009-05-01,24.7623,VT
2009-06-01,24.3344,VT
2009-07-01,26.7983,VT
2009-08-01,27.516,VT
2009-09-01,28.9584,VT
2009-10-01,28.2269,VT
2009-11-01,29.7314,VT
2009-12-01,29.7383,VT
2010-01-01,28.6538,VT
2010-02-01,29.2495,VT
2010-03-01,31.1976,VT
2010-04-01,31.0574,VT
2010-05-01,27.9881,VT
2010-06-01,27.2033,VT
2010-07-01,29.705,VT
2010-08-01,28.5207,VT
2010-09-01,31.3868,VT
2010-10-01,32.578,VT
2010-11-01,31.7161,VT
2010-12-01,33.496,VT
2011-01-01,34.6244,VT
2011-02-01,35.6388,VT
2011-03-01,35.6174,VT
2011-04-01,37.1675,VT
2011-05-01,36.3246,VT
2011-06-01,35.8388,VT
2011-07-01,35.0673,VT
2011-08-01,32.5243,VT
2011-09-01,29.0382,VT
2011-10-01,32.31,VT
2011-11-01,31.9099,VT
2011-12-01,30.8455,VT
2012-01-01,33.308,VT
2012-02-01,34.8952,VT
2012-03-01,35.3047,VT
2012-04-01,34.8879,VT
2012-05-01,31.7721,VT
2012-06-01,33.4031,VT
2012-07-01,33.6445,VT
2012-08-01,34.4783,VT
2012-09-01,35.1292,VT
2012-10-01,35.335,VT
2012-11-01,35.8753,VT
2012-12-01,36.5785,VT
2013-01-01,38.4723,VT
2013-02-01,38.3525,VT
2013-03-01,39.131,VT
2013-04-01,40.3063,VT
2013-05-01,40.0811,VT
2013-06-01,38.6769,VT
2013-07-01,41.0248,VT
2013-08-01,40.0176,VT
2013-09-01,42.07,VT
2013-10-01,43.8205,VT
2013-11-01,44.4975,VT
2013-12-01,45.1821,VT
2014-01-01,43.4539,VT
2014-02-01,45.72,VT
2014-03-01,45.6817,VT
2014-04-01,46.2812,VT
2014-05-01,47.2283,VT
2014-06-01,47.9135,VT
2014-07-01,47.4249,VT
2014-08-01,48.6815,VT
2014-09-01,46.8353,VT
2014-10-01,47.5017,VT
2014-11-01,48.1018,VT
2014-12-01,46.8549,VT
2015-01-01,46.38,VT
2015-02-01,49.1405,VT
2015-03-01,48.3013,VT
2015-04-01,49.7815,VT
2015-05-01,49.947,VT
2015-06-01,48.4889,VT
2015-07-01,49.0841,VT
2015-08-01,45.8293,VT
2015-09-01,43.9082,VT
2015-10-01,47.3439,VT
2015-11-01,47.3041,VT
2015-12-01,45.9716,VT
2016-01-01,43.5566,VT
2016-02-01,43.0748,VT
2016-03-01,46.3271,VT
2016-04-01,46.9765,VT
2016-05-01,47.2829,VT
2016-06-01,46.8153,VT
2016-07-01,49.154,VT
2016-08-01,49.3247,VT
2016-09-01,49.4547,VT
2016-10-01,48.7284,VT
2016-11-01,49.3084,VT
2016-12-01,49.8313,VT
2017-01-01,51.7089,VT
2017-02-01,53.0998,VT
2017-03-01,53.6758,VT
2017-04-01,54.7595,VT
2017-05-01,55.8253,VT
2017-06-01,55.7922,VT
2017-07-01,57.6667,VT
2017-08-01,57.908,VT
2017-09-01,58.8314,VT
2017-10-01,60.3743,VT
2017-11-01,61.5197,VT
2017-12-01,62.0882,VT
2018-01-01,65.9262,VT
