date,nav,fund_code
1998-12-01,17.4397,XLV
1999-01-01,18.2781,XLV
1999-02-01,18.2991,XLV
1999-03-01,18.7812,XLV
1999-04-01,19.4519,XLV
1999-05-01,18.8545,XLV
1999-06-01,19.6825,XLV
1999-07-01,19.0956,XLV
1999-08-01,18.2362,XLV
1999-09-01,17.9846,XLV
1999-10-01,18.8965,XLV
1999-11-01,19.1166,XLV
1999-12-01,20.7201,XLV
2000-01-01,20.3142,XLV
2000-02-01,18.986,XLV
2000-03-01,20.6938,XLV
2000-04-01,20.4513,XLV
2000-05-01,19.9031,XLV
2000-06-01,19.9453,XLV
2000-07-01,19.6501,XLV
2000-08-01,20.3459,XLV
2000-09-01,19.6079,XLV
2000-10-01,19.9031,XLV
2000-11-01,18.0899,XLV
2000-12-01,18.3851,XLV
2001-01-01,19.7178,XLV
2001-02-01,19.3399,XLV
2001-03-01,18.0982,XLV
2001-04-01,19.4379,XLV
2001-05-01,20.1803,XLV
2001-06-01,19.9441,XLV
2001-07-01,19.554,XLV
2001-08-01,18.5614,XLV
2001-09-01,15.8673,XLV
2001-10-01,15.9549,XLV
2001-11-01,17.8057,XLV
2001-12-01,18.2043,XLV
2002-01-01,18.1012,XLV
2002-02-01,18.9335,XLV
2002-03-01,20.023,XLV
2002-04-01,19.9101,XLV
2002-05-01,20.1876,XLV
2002-06-01,18.7389,XLV
2002-07-01,18.2019,XLV
2002-08-01,18.3779,XLV
2002-09-01,17.1862,XLV
2002-10-01,18.2449,XLV
2002-11-01,18.8086,XLV
2002-12-01,18.0343,XLV
2003-01-01,18.0404,XLV
2003-02-01,17.6382,XLV
2003-03-01,18.2177,XLV
2003-04-01,18.8685,XLV
2003-05-01,19.2582,XLV
2003-06-01,20.0512,XLV
2003-07-01,19.8071,XLV
2003-08-01,19.0735,XLV
2003-09-01,19.0666,XLV
2003-10-01,19.2538,XLV
2003-11-01,19.6663,XLV
2003-12-01,20.7322,XLV
2004-01-01,21.3771,XLV
2004-02-01,21.6048,XLV
2004-03-01,20.6526,XLV
2004-04-01,21.3475,XLV
2004-05-01,21.2783,XLV
2004-06-01,21.1399,XLV
2004-07-01,20.0612,XLV
2004-08-01,20.3872,XLV
2004-09-01,19.971,XLV
2004-10-01,19.5854,XLV
2004-11-01,19.9681,XLV
2004-12-01,21.0048,XLV
2005-01-01,20.4132,XLV
2005-02-01,21.0274,XLV
2005-03-01,20.8389,XLV
2005-04-01,21.6383,XLV
2005-05-01,21.9114,XLV
2005-06-01,21.7293,XLV
2005-07-01,22.2872,XLV
2005-08-01,22.21,XLV
2005-09-01,22.0203,XLV
2005-10-01,21.4105,XLV
2005-11-01,21.6712,XLV
2005-12-01,22.3476,XLV
2006-01-01,22.7109,XLV
2006-02-01,22.9724,XLV
2006-03-01,22.6048,XLV
2006-04-01,21.9768,XLV
2006-05-01,21.5159,XLV
2006-06-01,21.445,XLV
2006-07-01,22.6978,XLV
2006-08-01,23.3455,XLV
2006-09-01,23.6231,XLV
2006-10-01,23.7823,XLV
2006-11-01,23.7538,XLV
2006-12-01,23.918,XLV
2007-01-01,24.7331,XLV
2007-02-01,24.1597,XLV
2007-03-01,24.1167,XLV
2007-04-01,25.9765,XLV
2007-05-01,26.4226,XLV
2007-06-01,25.4011,XLV
2007-07-01,24.3229,XLV
2007-08-01,24.8798,XLV
2007-09-01,25.5669,XLV
2007-10-01,26.1351,XLV
2007-11-01,26.4689,XLV
2007-12-01,25.627,XLV
2008-01-01,24.5477,XLV
2008-02-01,23.8922,XLV
2008-03-01,22.7049,XLV
2008-04-01,23.0333,XLV
2008-05-01,23.4723,XLV
2008-06-01,22.3748,XLV
2008-07-01,23.4863,XLV
2008-08-01,23.9714,XLV
2008-09-01,22.0896,XLV
2008-10-01,19.6425,XLV
2008-11-01,18.4019,XLV
2008-12-01,19.6056,XLV
2009-01-01,19.4873,XLV
2009-02-01,17.0727,XLV
2009-03-01,17.9865,XLV
2009-04-01,18.0757,XLV
2009-05-01,19.3091,XLV
2009-06-01,19.6679,XLV
2009-07-01,20.9388,XLV
2009-08-01,21.5023,XLV
2009-09-01,21.5399,XLV
2009-10-01,21.1818,XLV
2009-11-01,23.1513,XLV
2009-12-01,23.4456,XLV
2010-01-01,23.7345,XLV
2010-02-01,23.8255,XLV
2010-03-01,24.3794,XLV
2010-04-01,23.5094,XLV
2010-05-01,21.9791,XLV
2010-06-01,21.4691,XLV
2010-07-01,21.8613,XLV
2010-08-01,21.5017,XLV
2010-09-01,23.3304,XLV
2010-10-01,23.9734,XLV
2010-11-01,23.2812,XLV
2010-12-01,24.2272,XLV
2011-01-01,24.4921,XLV
2011-02-01,25.2574,XLV
2011-03-01,25.5976,XLV
2011-04-01,27.3685,XLV
2011-05-01,28.0441,XLV
2011-06-01,27.5937,XLV
2011-07-01,26.6285,XLV
2011-08-01,26.0666,XLV
2011-09-01,24.7632,XLV
2011-10-01,26.3326,XLV
2011-11-01,26.5837,XLV
2011-12-01,27.2193,XLV
2012-01-01,28.2477,XLV
2012-02-01,28.5476,XLV
2012-03-01,29.6759,XLV
2012-04-01,29.7464,XLV
2012-05-01,28.6679,XLV
2012-06-01,30.1429,XLV
2012-07-01,30.6083,XLV
2012-08-01,30.9671,XLV
2012-09-01,31.9877,XLV
2012-10-01,32.0745,XLV
2012-11-01,32.2428,XLV
2012-12-01,31.9543,XLV
2013-01-01,34.5679,XLV
