target_return,volatility,sharpe,URTH,AOA,XLV,SPY,VNQ,QQQ,EMB,BNDX,AAXJ,VT
Bounds satisfied?,0.040997,-0.150395,-0.128458,0.083294,0.081867,0.355831,-0.176676,-0.177647,0.037061,0.992200,0.017061,-0.084534121
0.041377,0.041087,-0.073397,-0.148377,0.086213,0.086594,0.394705,-0.179929,-0.161765,0.035546,0.980589,0.020812,-0.114387875
0.030134,0.041356,0.003251,-0.168295,0.089132,0.091322,0.433578,-0.183182,-0.145884,0.034032,0.968978,0.024562,-0.144243136
0.033285,0.041800,0.078579,-0.188215,0.092049,0.096049,0.472451,-0.186435,-0.130002,0.032517,0.957368,0.028312,-0.174094837
0.036435,0.042413,0.151714,-0.208133,0.094967,0.100777,0.511325,-0.189689,-0.114121,0.031003,0.945757,0.032063,-0.203949099
0.039585,0.043190,0.221924,-0.228050,0.097886,0.105504,0.550201,-0.192942,-0.098239,0.029489,0.934146,0.035813,-0.233807734
0.042735,0.044120,0.288645,-0.247969,0.100804,0.110232,0.589073,-0.196195,-0.082358,0.027974,0.922535,0.039564,-0.263659217
0.045885,0.045194,0.351483,-0.267887,0.103722,0.114959,0.627947,-0.199448,-0.066477,0.026460,0.910924,0.043314,-0.293513631
0.049035,0.046404,0.410210,-0.287806,0.106640,0.119687,0.666820,-0.202701,-0.050595,0.024945,0.899313,0.047064,-0.323366693
0.052185,0.047737,0.464743,-0.307723,0.109556,0.124414,0.705695,-0.205954,-0.034714,0.023431,0.887702,0.050815,-0.353221473
0.055335,0.049184,0.515114,-0.328622,0.114199,0.129092,0.744180,-0.209161,-0.018698,0.021698,0.875946,0.054397,-0.383030551
0.058486,0.050736,0.561449,-0.347562,0.115391,0.133869,0.783444,-0.212461,-0.002951,0.020403,0.864480,0.058316,-0.412928074
0.036733,0.052383,0.603935,-0.367483,0.118312,0.138597,0.822313,-0.215714,0.012931,0.018887,0.852870,0.062065,-0.442778349
0.036311,0.054116,0.642804,-0.387400,0.121231,0.143324,0.861187,-0.218968,0.028813,0.017373,0.841259,0.065816,-0.472635492
0.035889,0.055927,0.678308,-0.407322,0.124150,0.148051,0.900069,-0.222221,0.044692,0.015859,0.829648,0.069567,-0.502493807
0.035466,0.057810,0.710711,-0.427238,0.127068,0.152779,0.938935,-0.225474,0.060576,0.014344,0.818037,0.073317,-0.532342736
0.035044,0.059757,0.740273,-0.447156,0.129987,0.157507,0.977810,-0.228727,0.076457,0.012829,0.806426,0.077067,-0.56219933
0.034622,0.061762,0.767246,-0.467078,0.132906,0.162234,1.016684,-0.231981,0.092338,0.011315,0.794815,0.080817,-0.592051359
0.034200,0.063819,0.791868,-0.486995,0.135823,0.166961,1.055557,-0.235234,0.108220,0.009800,0.783205,0.084567,-0.621904651
0.033778,0.065925,0.814361,-0.506914,0.138741,0.171689,1.094430,-0.238487,0.124101,0.008285,0.771594,0.088318,-0.651757593
0.033355,0.068074,0.834930,-0.526831,0.141659,0.176416,1.133304,-0.241740,0.139983,0.006771,0.759983,0.092068,-0.681612589
0.032933,0.070262,0.853761,-0.546748,0.144576,0.181144,1.172179,-0.244994,0.155864,0.005257,0.748372,0.095819,-0.711469538
0.032511,0.072486,0.871024,-0.566669,0.147494,0.185871,1.211050,-0.248247,0.171746,0.003742,0.736762,0.099569,-0.74131799
0.032089,0.074742,0.886873,-0.586586,0.150414,0.190599,1.249925,-0.251500,0.187627,0.002228,0.725150,0.103320,-0.771177312
0.031666,0.077029,0.901444,-0.606505,0.153331,0.195326,1.288799,-0.254753,0.203508,0.000713,0.713540,0.107070,-0.801030696
0.031244,0.079342,0.914861,-0.626425,0.156249,0.200054,1.327672,-0.258006,0.219390,-0.000801,0.701928,0.110820,-0.830881521
0.030822,0.081681,0.927236,-0.646344,0.159167,0.204781,1.366545,-0.261260,0.235272,-0.002316,0.690318,0.114571,-0.860734739
0.030400,0.084042,0.938668,-0.666271,0.162085,0.209508,1.405429,-0.264513,0.251151,-0.003831,0.678708,0.118322,-0.890587867
0.029978,0.086426,0.949227,-0.689125,0.144551,0.214716,1.454026,-0.268623,0.265089,-0.003147,0.670053,0.123793,-0.911334961
0.029555,0.088825,0.959046,-0.706708,0.164026,0.218979,1.486222,-0.271211,0.282238,-0.006323,0.656002,0.126345,-0.949568814
0.029133,0.091245,0.968144,-0.726513,0.168021,0.223728,1.523760,-0.274379,0.298430,-0.008126,0.644317,0.129899,-0.979135754
0.028711,0.093680,0.976600,-0.754285,0.174683,0.228510,1.559219,-0.277655,0.315242,-0.010527,0.632717,0.132086,-0.999991122
0.028289,0.096135,0.984433,-0.806402,0.160077,0.234059,1.613992,-0.281827,0.329187,-0.008651,0.623903,0.135661,-1
0.027866,0.098599,0.991772,-0.824642,0.166079,0.239422,1.620618,-0.284831,0.351707,-0.017498,0.615463,0.133681,-1
0.027444,0.101081,0.998585,-0.860921,0.162207,0.244817,1.652257,-0.288453,0.369729,-0.020895,0.606754,0.134504,-1
0.027022,0.103578,1.004931,-0.914735,0.175840,0.249020,1.687477,-0.290725,0.388082,-0.024754,0.595676,0.134119,-1
0.026600,0.106085,1.010878,-0.938817,0.163268,0.254125,1.719029,-0.296401,0.403903,-0.028126,0.588152,0.134868,-1
0.026178,0.108605,1.016424,-0.992359,0.168118,0.261737,1.752477,-0.298839,0.424498,-0.028912,0.576773,0.136507,-1
